Postcode,Electoral division,Per cent
2845,Calare,100
2846,Calare,100
2847,Calare,100
2848,Gwydir,100
2849,Gwydir,100
2850,Gwydir,98.7
2850,Hunter,1.3
2852,Gwydir,100
2864,Calare,100
2865,Calare,100
2866,Calare,94.9
2866,Gwydir,5.1
2867,Calare,100
2868,Calare,65.9
2868,Gwydir,34.1
2869,Parkes,100
2870,Parkes,100
2871,Parkes,100
2873,Parkes,100
2874,Parkes,100
2875,Parkes,100
2876,Parkes,100
2877,Parkes,100
2878,Parkes,100
2879,Parkes,100
2880,Parkes,100
2898,Sydney,100
2900,Canberra,100
2902,Canberra,100
2903,Canberra,100
2904,Canberra,100
2905,Canberra,100
2906,Canberra,100
2911,Fraser,100
2912,Fraser,100
2913,Fraser,100
2914,Fraser,100
3000,Melbourne,100
3002,Melbourne,100
3003,Melbourne,100
3004,Melbourne Ports,100
3005,Melbourne,100
3006,Melbourne Ports,100
3008,Melbourne,100
3010,Melbourne,100
3011,Gellibrand,100
3012,Gellibrand,100
3013,Gellibrand,100
3015,Gellibrand,100
3016,Gellibrand,100
3018,Gellibrand,100
3019,Gellibrand,100
3020,Gorton,28.8
3020,Maribyrnong,71.2
3021,Gorton,53.1
3021,Maribyrnong,46.9
3022,Gorton,100
3023,Gorton,100
3024,Lalor,100
3025,Gellibrand,100
3027,Lalor,100
3028,Gellibrand,80
3028,Lalor,20
3029,Lalor,100
3030,Lalor,100
3031,Melbourne,100
3032,Gellibrand,13.8
3032,Maribyrnong,10.7
3032,Melbourne,75.5
3033,Maribyrnong,100
3034,Maribyrnong,100
3036,Gorton,100
3037,Gorton,100
3038,Gorton,100
3039,Maribyrnong,100
3040,Maribyrnong,100
3041,Maribyrnong,19.4
3041,Wills,80.6
3042,Maribyrnong,100
3043,Calwell,96.9
3043,Wills,3.1
3044,Wills,100
3045,Calwell,100
3046,Wills,100
3047,Calwell,100
3048,Calwell,100
3049,Calwell,100
3050,Melbourne,100
3051,Melbourne,100
3052,Melbourne,100
3053,Melbourne,100
3054,Melbourne,100
3055,Wills,100
3056,Melbourne,13.7
3056,Wills,86.3
3057,Melbourne,24.9
3057,Wills,75.1
3058,Wills,100
3059,Calwell,100
3060,Wills,100
3061,Calwell,100
3063,Calwell,100
3064,Calwell,100
3065,Melbourne,100
3066,Melbourne,100
3067,Melbourne,100
3068,Melbourne,100
3070,Batman,100
3071,Batman,100
3072,Batman,100
3073,Batman,100
3074,Scullin,100
3075,Scullin,100
3076,McEwen,5.2
3076,Scullin,94.8
3078,Batman,75.9
3078,Melbourne,24.1
3079,Jagajaga,100
3081,Jagajaga,100
3082,Scullin,100
3083,Batman,27
3083,Jagajaga,15.1
3083,Scullin,57.9
3084,Jagajaga,100
3085,Jagajaga,100
3086,Batman,100
3087,Jagajaga,56.3
3087,Scullin,43.7
3088,Jagajaga,73.4
3088,Scullin,26.6
3089,Jagajaga,3.8
3089,McEwen,85.4
3089,Scullin,10.9
3090,Scullin,100
3091,McEwen,100
3093,Jagajaga,100
3094,Jagajaga,100
3095,Jagajaga,83.2
3095,McEwen,16.8
3096,McEwen,100
3097,McEwen,100
3099,McEwen,100
3101,Kooyong,100
3102,Kooyong,100
3103,Kooyong,100
3104,Chisholm,0.5
3104,Kooyong,99.5
3105,Menzies,100
3106,Menzies,100
3107,Menzies,100
3108,Menzies,100
3109,Menzies,100
3111,Menzies,100
3113,Jagajaga,32.3
3113,Menzies,67.7
3114,Menzies,100
3115,Casey,9.6
3115,Menzies,90.4
3116,Casey,100
3121,Melbourne,100
3122,Kooyong,100
3123,Kooyong,100
3124,Higgins,46.3
3124,Kooyong,53.7
3125,Chisholm,60
3125,Higgins,20
3125,Kooyong,20
3126,Kooyong,100
3127,Chisholm,52.9
3127,Kooyong,47.1
3128,Chisholm,100
3129,Chisholm,95.4
3129,Kooyong,4.6
3130,Deakin,100
3131,Aston,14.3
3131,Deakin,84.3
3131,Menzies,1.4
3132,Deakin,92.3
3132,Menzies,7.7
3133,Aston,87.1
3133,Deakin,12.9
3134,Deakin,59.8
3134,Menzies,40.2
3135,Casey,2.9
3135,Deakin,97.1
3136,Casey,77.3
3136,Deakin,22.7
3137,Casey,100
3138,Casey,100
3139,Casey,45.7
3139,McEwen,54.3
3140,Casey,100
3141,Higgins,73.9
3141,Melbourne Ports,26.1
3142,Higgins,100
3143,Higgins,100
3144,Higgins,100
3145,Higgins,95.9
3145,Melbourne Ports,4.1
3146,Higgins,97.1
3146,Kooyong,2.9
3147,Chisholm,45.2
3147,Higgins,54.8
3148,Chisholm,55.5
3148,Higgins,44.5
3149,Chisholm,100
3150,Bruce,78.8
3150,Chisholm,21.2
3151,Deakin,100
3152,Aston,100
3153,Aston,44.7
3153,Casey,19.8
3153,Deakin,28.4
3153,La Trobe,7.2
3154,La Trobe,100
3155,Aston,13.3
3155,La Trobe,86.7
3156,Aston,51.5
3156,Holt,1.6
3156,La Trobe,46.9
3158,La Trobe,100
3159,La Trobe,100
3160,La Trobe,100
3161,Melbourne Ports,100
3162,Goldstein,29.4
3162,Melbourne Ports,70.6
3163,Goldstein,39.5
3163,Higgins,19.9
3163,Hotham,36.9
3163,Melbourne Ports,3.7
3165,Hotham,100
3166,Chisholm,44.7
3166,Higgins,13.9
3166,Hotham,41.5
3167,Hotham,100
3168,Bruce,9.7
3168,Chisholm,76.5
3168,Hotham,13.8
3169,Chisholm,3.2
3169,Hotham,96.8
3170,Bruce,100
3171,Bruce,43.6
3171,Hotham,56.4
3172,Hotham,78.5
3172,Isaacs,21.5
3173,Isaacs,100
3174,Bruce,53.3
3174,Hotham,9.3
3174,Isaacs,37.3
3175,Bruce,86.4
3175,Isaacs,13.6
3177,Holt,100
3178,Aston,100
3179,Aston,100
3180,Aston,100
3181,Higgins,90.9
3181,Melbourne Ports,9.1
3182,Melbourne Ports,100
3183,Melbourne Ports,100
3184,Melbourne Ports,100
3185,Melbourne Ports,100
3186,Goldstein,100
3187,Goldstein,100
3188,Goldstein,100
3189,Goldstein,62.1
3189,Hotham,37.9
3190,Goldstein,70.5
3190,Hotham,29.5
3191,Goldstein,100
3192,Goldstein,14.3
3192,Hotham,62.9
3192,Isaacs,22.8
3193,Goldstein,100
3194,Hotham,9.8
3194,Isaacs,90.2
3195,Isaacs,100
3196,Isaacs,100
3197,Isaacs,100
3198,Dunkley,100
3199,Dunkley,100
3200,Dunkley,100
3201,Isaacs,100
3202,Hotham,100
3204,Goldstein,100
3205,Melbourne Ports,100
3206,Melbourne Ports,100
3207,Melbourne Ports,100
3211,Corio,49.5
3211,Lalor,50.5
3212,Corio,100
3214,Corio,100
3215,Corio,100
3216,Corangamite,100
3217,Corangamite,100
3218,Corio,100
3219,Corio,100
3220,Corio,100
3221,Corangamite,47.8
3221,Corio,52.2
3222,Corangamite,18.3
3222,Corio,81.7
3223,Corangamite,100
3224,Corio,100
3225,Corangamite,100
3226,Corangamite,100
3227,Corangamite,100
3228,Corangamite,100
3230,Corangamite,100
3231,Corangamite,100
3232,Corangamite,100
3233,Corangamite,100
3235,Corangamite,100
3236,Corangamite,100
3237,Corangamite,100
3238,Corangamite,100
3239,Corangamite,100
3240,Corangamite,100
3241,Corangamite,100
3242,Corangamite,100
3243,Corangamite,100
3249,Corangamite,100
3250,Corangamite,100
3251,Corangamite,100
3254,Corangamite,100
3260,Wannon,100
3264,Wannon,100
3265,Wannon,100
3266,Wannon,100
3267,Wannon,100
3268,Wannon,100
3269,Wannon,100
3270,Wannon,100
3271,Wannon,100
3272,Wannon,100
3273,Wannon,100
3274,Wannon,100
3275,Wannon,100
3276,Wannon,100
3277,Wannon,100
3278,Wannon,100
3279,Wannon,100
3280,Wannon,100
3281,Wannon,100
3282,Wannon,100
3283,Wannon,100
3284,Wannon,100
3285,Wannon,100
3286,Wannon,100
3287,Wannon,100
3289,Wannon,100
3292,Wannon,100
3293,Wannon,100
3294,Wannon,100
3300,Wannon,100
3301,Wannon,100
3302,Wannon,100
3303,Wannon,100
3304,Wannon,100
3305,Wannon,100
3309,Wannon,100
3310,Wannon,100
3311,Mallee,6.6
3311,Wannon,93.4
3312,Mallee,19.2
3312,Wannon,80.8
3314,Wannon,100
3315,Wannon,100
3317,Mallee,100
3318,Mallee,100
3319,Mallee,100
3321,Corangamite,100
3322,Corangamite,100
3323,Wannon,100
3324,Wannon,100
3325,Wannon,100
3328,Corangamite,100
3329,Corangamite,100
3330,Corangamite,100
3331,Corangamite,100
3332,Corangamite,100
3333,Corangamite,100
3334,Ballarat,100
3335,Gorton,78.3
3335,Lalor,21.7
3337,Lalor,100
3338,Lalor,100
3340,Ballarat,98.4
3340,Corio,1.6
3341,Ballarat,100
3342,Ballarat,100
3345,Ballarat,100
3350,Ballarat,100
3351,Ballarat,50.6
3351,Corangamite,24.3
3351,Wannon,25.1
3352,Ballarat,90.6
3352,Corangamite,5.3
3352,Wannon,4.1
3355,Ballarat,100
3356,Ballarat,100
3357,Ballarat,100
3360,Corangamite,100
3361,Wannon,100
3363,Ballarat,100
3364,Ballarat,91.8
3364,Bendigo,8.2
3370,Ballarat,100
3371,Bendigo,76.3
3371,Wannon,23.7
3373,Wannon,100
3375,Wannon,100
3377,Wannon,100
3378,Wannon,100
3379,Wannon,100
3380,Wannon,100
3381,Mallee,10.3
3381,Wannon,89.7
3384,Wannon,100
3385,Wannon,100
3387,Wannon,100
3388,Mallee,100
3390,Mallee,100
3391,Mallee,100
3392,Mallee,100
3393,Mallee,100
3395,Mallee,100
3396,Mallee,100
3399,Mallee,100
3400,Mallee,100
3401,Mallee,100
3407,Wannon,100
3409,Mallee,100
3412,Mallee,100
3413,Mallee,100
3414,Mallee,100
3415,Mallee,100
3418,Mallee,100
3419,Mallee,100
3420,Mallee,100
3422,Mallee,100
3423,Mallee,100
3424,Mallee,100
3427,Calwell,25.1
3427,Lalor,74.9
3428,Calwell,100
3429,Calwell,100
3430,McEwen,100
3431,McEwen,100
3432,McEwen,100
3433,McEwen,100
3434,McEwen,100
3435,McEwen,100
3437,McEwen,100
3438,McEwen,100
3440,McEwen,100
3441,McEwen,100
3442,McEwen,100
3444,Bendigo,96.5
3444,McEwen,3.5
3446,Bendigo,100
3447,Bendigo,100
3448,Bendigo,100
3450,Bendigo,100
3451,Bendigo,100
3453,Bendigo,100
3458,Ballarat,100
3460,Ballarat,100
3461,Ballarat,100
3462,Bendigo,100
3463,Bendigo,100
3464,Bendigo,100
3465,Bendigo,97.7
3465,Wannon,2.3
3467,Wannon,100
3468,Wannon,100
3469,Wannon,100
3472,Bendigo,100
3475,Bendigo,67.5
3475,Murray,32.5
3478,Mallee,100
3480,Mallee,100
3482,Mallee,100
3483,Mallee,100
3485,Mallee,100
3487,Mallee,100
3488,Mallee,100
3489,Mallee,100
3490,Mallee,100
3491,Mallee,100
3494,Mallee,100
3496,Mallee,100
3498,Mallee,100
3500,Farrer,4.3
3500,Mallee,95.7
3501,Mallee,100
3505,Mallee,100
3506,Mallee,100
3507,Mallee,100
3509,Mallee,100
3512,Mallee,100
3515,Bendigo,100
3516,Murray,100
3517,Murray,100
3518,Murray,100
3520,Murray,100
3521,McEwen,100
3522,McEwen,100
3523,Bendigo,100
3525,Mallee,92.1
3525,Murray,7.9
3527,Mallee,100
